experiment,metric,mtl,baseline,delta,ci_low,ci_high,p_value,sig@5%
mtl_fixed,quadratic_kappa,0.7726820780512056,0.7876447876447876,-0.014962709593582035,-0.03368096089537947,0.002580422910991374,0.098,no
mtl_fixed,macro_f1,0.6074125792288202,0.643002689315213,-0.03559011008639279,-0.10224238473732183,0.022625648915619207,0.212,no
mtl_fixed,balanced_accuracy,0.573974358974359,0.6111538461538462,-0.03717948717948716,-0.09936378205128192,0.022447115384615354,0.188,no
mtl_uncertainty,quadratic_kappa,0.8256759990428333,0.7876447876447876,0.03803121139804566,-0.0029909315182535777,0.09033135291385733,0.084,no
mtl_uncertainty,macro_f1,0.5994004845045332,0.643002689315213,-0.04360220481067978,-0.10903075031333417,0.018599793508158175,0.186,no
mtl_uncertainty,balanced_accuracy,0.5761538461538462,0.6111538461538462,-0.03499999999999992,-0.10468108974358972,0.029424679487179337,0.31,no
mtl_center_only,quadratic_kappa,0.8622222222222222,0.7876447876447876,0.0745774345774346,0.021691688432327848,0.13916463270243828,0.007,yes
mtl_center_only,macro_f1,0.6202725454968767,0.643002689315213,-0.022730143818336268,-0.09983373712685943,0.05673132490821978,0.561,no
mtl_center_only,balanced_accuracy,0.5984615384615385,0.6111538461538462,-0.01269230769230767,-0.08359935897435895,0.053413461538461396,0.711,no
mtl_demog_only,quadratic_kappa,0.7878711783539456,0.7876447876447876,0.00022639070915797532,-0.03617151917405636,0.035351192370685854,1.0,no
mtl_demog_only,macro_f1,0.6082680472469061,0.643002689315213,-0.0347346420683069,-0.11015467895366193,0.033256998523413725,0.327,no
mtl_demog_only,balanced_accuracy,0.577371794871795,0.6111538461538462,-0.03378205128205114,-0.09956410256410243,0.02527724358974335,0.288,no
