experiment,metric,method,baseline,delta,ci_low,ci_high,p_value,sig@5%
unc_mcd,quadratic_kappa,0.7914326276155792,0.7876447876447876,0.0037878399707915733,0.0,0.012766547465242575,0.715,no
unc_mcd,macro_f1,0.664739236371453,0.643002689315213,0.021736547056240063,0.0,0.07396743697478982,0.715,no
unc_mcd,balanced_accuracy,0.6265384615384615,0.6111538461538462,0.01538461538461533,0.0,0.04615384615384621,0.715,no
unc_mcd_p5,quadratic_kappa,0.8363873569353022,0.7876447876447876,0.04874256929051457,0.004438872723714993,0.1024357393875999,0.028,yes
unc_mcd_p5,macro_f1,0.6274380964947002,0.643002689315213,-0.015564592820512813,-0.08009707613017313,0.05639278616944937,0.646,no
unc_mcd_p5,balanced_accuracy,0.6073717948717949,0.6111538461538462,-0.003782051282051224,-0.07192948717948722,0.06366826923076928,0.879,no
unc_ensemble5,quadratic_kappa,0.7930574098798397,0.7876447876447876,0.0054126222350521225,-0.023619999754659445,0.03687883705859871,0.748,no
unc_ensemble5,macro_f1,0.6253347635648521,0.643002689315213,-0.017667925750360913,-0.09497646804751186,0.06143100086258635,0.619,no
unc_ensemble5,balanced_accuracy,0.5872435897435897,0.6111538461538462,-0.02391025641025646,-0.09365865384615377,0.040641025641025674,0.468,no
unc_evidential,quadratic_kappa,0.7822320815507315,0.7876447876447876,-0.005412706094056086,-0.037794123983298095,0.031956154687253345,0.768,no
unc_evidential,macro_f1,0.5836140234236945,0.643002689315213,-0.05938866589151848,-0.1306794617931563,0.017524443934834922,0.127,no
unc_evidential,balanced_accuracy,0.5760897435897436,0.6111538461538462,-0.03506410256410253,-0.1001442307692308,0.02719230769230759,0.28,no
unc_temp,quadratic_kappa,0.7876447876447876,0.7876447876447876,0.0,0.0,0.0,1.0,no
unc_temp,macro_f1,0.643002689315213,0.643002689315213,0.0,0.0,0.0,1.0,no
unc_temp,balanced_accuracy,0.6111538461538462,0.6111538461538462,0.0,0.0,0.0,1.0,no
